artist_uri,artist,artist_popularity,artist_followers,major_label,genre_pop,genre_screen,genre_hiphop,genre_punk,genre_blues,genre_country,genre_rnb,genre_rock,genre_latin,genre_dance,genre_indie,genre_elect,genre_gospel,genre_chill
7gjAu1qr5C2grXeQFFOGeh,Passion Pit,58,1208811,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,61,996298,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
7geo7fjTQyp13Wf2ALTZCF,Blanks,51,194013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7gbmX8SsfjEjxDMzBi1ZOL,Joe Jonas,54,1457934,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,71,6725259,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7gXy60xRcwYujBFoYHnR2O,Big Red Machine,54,128115,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
7gXb99Sf9nNmpNYeAgIQFG,Sub Urban,68,1281917,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7gWumE1wMALHXANLSIt054,Dreezy,54,659639,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,63,1703227,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
7gP3bB2nilZXLfPHJhMdvc,Foster The People,70,3459182,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,74,6297706,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
7gAppWoH7pcYmphCVTXkzs,The Vamps,69,5215281,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
7fw0E8WHdG3r9SuPBcGmWk,Sampa the Great,50,207096,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
7fWWCEf6DEXakYg8gG51ta,From Inside,25,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7fObcBw9VM3x7ntWKCYl0z,Colby O'Donis,64,128105,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,77,2431210,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7f0OLhGgBMX9fUjm1dcPip,Alice Merton,57,316159,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
7elB9Pjvsisg4hKILUjaUr,Casey Conroy,16,3288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7eQKpZlY4A3fynoiLXIvjF,Marrakesh,13,7122,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
7eCmccnRwPmRnWPw61x6jM,SHY Martin,62,257982,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7e1ICztHM2Sc4JNLxeMXYl,dvsn,58,1068635,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,59,358580,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
7dtJROxWQe3fxxF5t7o67N,Bonnie McKee,41,61062,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
7dpKVB4mK3ufNdZOpMKtrd,DAY26,39,266996,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7dOBabd5O4CvKrg4iriHTM,Kid Rock,67,2037730,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7dGJo4pcD2V6oG8kP0tJRR,Eminem,89,56456639,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7d3WFRME3vBY2cgoP38RDo,Lil Skies,70,4806904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7crPfGd2k81ekOoSqQKWWz,Stevie Nicks,64,934179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7cTXfwpe9peK0UE1bZyIWZ,Pinkfong,63,158954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7cG98wfpXvT5BwGU85RaOA,Unaverage Gang,56,76067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7cAlvWK5rgMmJ37j7woN8l,Christian Rich,45,16297,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7c7ZeiPKWHf2E1rsf1P4VF,Medina,55,230305,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,80,4260967,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7bvcQXJHkFiN1ppIN3q4fi,Joss Stone,58,987411,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7bp2lSdh12wcA8LyB1srfJ,Sofia Carson,64,2905895,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7bcbShaqKdcyjnmv4Ix8j6,St. Vincent,62,760969,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
7bYgUzgUILyzwkf6RHZf9J,Hil St. Soul,42,66747,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,84,16047626,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
7b85ve82Sh36a3UAx74wut,Twisted Sister,61,2090438,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7b04D0yLktCUpvxQBhmG7R,LEISURE,56,142640,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7arQA31aZVS8yS6zUveWzb,CJ,64,207938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope,54,227632,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
7aSsnDTH11xS2yIn6cNtsF,Mercer,44,36998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7aFTOGFDEqDtJUCziLVsVC,Nao,58,567981,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,69,270136,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7aA592KWirLsnfb5ulGWvU,Danny Brown,59,690862,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7MtJuOjj3rQt4d7IWptckD,Yaw,28,4864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7MoIc5s9KXolCBH1fy9kkw,Japanese Breakfast,60,470769,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7Mlrzwh665lRUOEV1ZWyWu,David Tort,40,19479,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
7MlotYZhHjOlXcvmwrITj8,Tep No,56,91677,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0
7MhMgCo0Bl0Kukl93PZbYS,Blur,66,2532929,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
7MPGCB854Qo4alYMOPkBka,Ritt Momney,60,115145,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7ME0heqob2B32S9ofWhOyU,Joe Bataan,43,39411,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7LvoDJUNGnOrPdGRzVtOJ9,Young M.A,61,1297708,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,67,973202,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7LiVklVR1325BIOqD9kykr,CLMD,52,31146,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7LbuenKfQNLPKzvi1rKPBG,Madden,39,42609,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7LImGq5KnzQobZciDJpeJb,Charlotte Lawrence,60,949127,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
7LAucJAvbQa7ZIA0qP8YI2,The Royal Concept,45,111069,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
7Kp7SzuRuNiPFCy7JIwnLx,Ca$h Out,46,481693,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7KkfsUfXaB3RNWHKczS6s1,Brooke Evers,27,10131,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7KTMw4g3OqEh9Jz1HmF7bo,K'Jon,37,38738,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7KMqksf0UMdyA0UCf4R3ux,James Blunt,69,2633211,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7KGI0OwY8iAL5rI5p47YyK,Tora,54,97130,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7K78lVZ8XzkjfRSI7570FF,Jose Feliciano,61,287574,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7K4kPTcSdsMPSgUZuMOBpH,Evie Clair,28,11583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7JlWmjJP19dwzNjvpupW9m,Matt Strike,16,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7JBMlJmJpOk87BZTdbYSHD,2 Pistols,36,26441,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7Ip2u3e5Nv6fFb5xyIHxEE,Dev,60,258413,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7IfculRW2WXyzNQ8djX8WX,Erykah Badu,63,2398555,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7IeovKzVkfcG9mIJGNzTcT,Ran-D,58,192930,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7ITd48RbLVpUfheE7B86o2,The Decemberists,54,557028,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
7Hvq85OU8T7Hsd63zNBwaL,black midi,47,149713,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
7HnPsSFnXUJ8XiHt1UuQ23,Struggle Jennings,59,309018,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,70,4387304,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
7Hjbimq43OgxaBRpFXic4x,Saba,63,600737,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
7HWfshpjlGldmRa4gymvjX,No Love For The Middle Child,40,13539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7HV2RI2qNug4EcQqLbCAKS,Keala Settle,64,144257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
