billboard,billboard_year,billboard_date,peak_position,weeks_on_chart,artist,feat_artist,artist_uri,artist_popularity,artist_followers,artist_genre,song,track_uri,track_popularity,album_name,release_date,release_year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,-,-,-,-,Sigala,-,1IueXOQyABrMOprrzwQJWN,72,1429450,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",Came Here for Love,3kGfazcbVvVkuZunzlLgTD,64,Came Here for Love,6/9/2017,2017,202999,0.708,0.868,6,-3.287,1,0.0431,0.0313,0,0.122,0.72,124.994,4
0,-,-,-,-,Sigala,-,1IueXOQyABrMOprrzwQJWN,72,1429450,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",Easy Love - Original Mix,7uH20mELeQelsiMNCh78gD,0,Easy Love,8/21/2015,2015,227709,0.694,0.955,9,-2.872,1,0.0676,0.256,0.000874,0.138,0.713,123.982,4
0,-,-,-,-,Sigala,-,1IueXOQyABrMOprrzwQJWN,72,1429450,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",Lullaby,5xzCzOAOfRi4DOttSzvznR,60,Lullaby,2/23/2018,2018,204022,0.725,0.834,5,-3.913,0,0.037,0.0784,1.27E-05,0.0834,0.859,120.026,4
0,-,-,-,-,Sigala,-,1IueXOQyABrMOprrzwQJWN,72,1429450,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",Only One,3eSD4F6Y47EHatykwASvHX,42,Only One (Remix) - EP,2/3/2017,2017,237186,0.55,0.763,7,-6.338,1,0.0437,0.000486,0.0438,0.56,0.373,173.889,4
0,-,-,-,-,Sigma,-,01pKrlgPJhm5dB4lneYAqS,60,292870,"['dance pop', 'dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'tropical house', 'uk dance']",Find Me,2Wr970IfovsSGnfkE08iMF,0,Find Me,11/4/2016,2016,204444,0.572,0.797,5,-3.995,0,0.0483,0.064,0,0.105,0.252,135.006,4
0,-,-,-,-,Sigma,-,01pKrlgPJhm5dB4lneYAqS,60,292870,"['dance pop', 'dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'tropical house', 'uk dance']",Glitterball,6lhBJwyNBMPr6ejjscUDCj,26,Glitterball,6/12/2015,2015,226308,0.496,0.812,0,-3.471,1,0.0337,0.0376,0,0.153,0.222,140.012,4
0,-,-,-,-,Sigma,-,01pKrlgPJhm5dB4lneYAqS,60,292870,"['dance pop', 'dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'tropical house', 'uk dance']",Nobody To Love - Radio Edit,4J4fFMrP25pj6uKOyTIpcG,0,De Maxx Long Player 30,6/30/2014,2014,185586,0.446,0.903,8,-5.404,1,0.0418,0.000484,8.67E-06,0.164,0.169,175.021,4
0,-,-,-,-,Sigrid,-,4TrraAsitQKl821DQY42cZ,65,631216,"['dance pop', 'norwegian pop', 'pop']",Strangers,722N7OOvzhtyUEimkeu91r,36,Strangers (Jonas Blue Remix),2/16/2018,2018,192323,0.716,0.867,11,-4.29,0,0.0325,0.0704,0.000984,0.0745,0.472,115.023,4
1,2016,1/16/2016,3,51,Silento,-,7juKTDFlPesGeWQ1GmjmOv,49,224069,"['chicago bop', 'pinoy hip hop']",Watch Me,5RIVoVdkDLEygELLCniZFr,65,Watch Me (Whip / Nae Nae),5/4/2015,2015,185142,0.821,0.759,8,-8.541,1,0.121,0.247,0,0.321,0.962,140.01,4
1,2019,1/12/2019,62,10,Silk City,Dua Lipa,2X97ZAqRKRMYFIDqtvGgGc,57,76848,['edm'],Electricity,5N4erncE7kuUccm7zEmwzk,74,Electricity (with Dua Lipa),9/6/2018,2018,238173,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,4
